canonical_id	organism_guess	functional_category_initial	combined_functional_annotation	Puntaje Extracelular	Score NLS	cluster_50_representative	cluster_50_rep_organism	cluster_50_member_count	swissprot_accession	swissprot_protein_name	swissprot_organism	manual_review_confidence	pident	alnlen	evalue	bits	alphafold_status	alphafold_plddt	structure_interpretation_type	preliminary_review_priority	priority_reason
CP058272.1_2646	Acinetobacter_guillouiae	cell_wall_envelope	LysM peptidoglycan-binding domain-containing protein | LysM peptidoglycan-binding domain-containing protein [Acinetobact	0.358	0.735	CP058272.1_2646	Acinetobacter_guillouiae	1	O07532	Peptidoglycan endopeptidase LytF	Bacillus subtilis (strain 168)	weak_but_possible_hit	29.8	114.0	2.514e-06	54.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
JAFBBF010000001.1_91	Chryseobacterium_scophthalmum	cell_wall_envelope	Hypothetical protein | D-Ala-D-Ala carboxypeptidase family metallohydrolase [Chryseobacterium sp. KACC 21268] | D-Ala-D-	0.96	0.832	JAFBBF010000001.1_91	Chryseobacterium_scophthalmum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_1138	Comamonas_piscis	cell_wall_envelope	Septal ring lytic transglycosylase RlpA family protein | Septal ring lytic transglycosylase RlpA family protein [Comamon	0.343	0.966	CP058554.1_1138	Comamonas_piscis	1	Q55752	Probable endolytic peptidoglycan transglycosylase RlpA	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	weak_but_possible_hit	65.6	88.0	6.362e-28	117.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
PCOC01000002.1_696	Ochrobactrum_vermis	cell_wall_envelope	Hypothetical protein | Hypothetical protein | Hypothetical protein | Pectinesterase inhibitor domain-containing protein	0.866	0.781	PCOC01000002.1_696	Ochrobactrum_vermis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058555.1_4528	Sphingobacterium_multivorum	cell_wall_envelope	Transglycosylase domain-containing protein | Penicillin-binding protein/Glycosyl transferase | matched 124056486: Putati	0.978	0.654	CP058555.1_4528	Sphingobacterium_multivorum	1	Q0AIQ0	Biosynthetic peptidoglycan transglycosylase	Nitrosomonas eutropha (strain DSM 101675 / C91 / Nm57)	moderate_sequence_hit	46.7	145.0	7.874000000000001e-28	126.0	found	92.56	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (moderate_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
NZ_SLYP02000001.1_888	Sphingomonas_molluscorum	cell_wall_envelope	Penicillin-binding protein 1A | Penicillin-binding protein 1A/DD-transpeptidase | matched 124056486: Putative transglyco	0.971	0.826	NZ_SLYP02000001.1_888	Sphingomonas_molluscorum	1	Q1RKC5	Penicillin-binding protein 1A	Rickettsia bellii (strain RML369-C)	moderate_sequence_hit	41.0	749.0	3.66e-161	532.0	found	89.25	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (moderate_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP058272.1_2019	Acinetobacter_guillouiae	dna_rna_related	Hypothetical protein | low molecular weight protein tyrosine phosphatase family protein [Herbaspirillum huttiense] | low	0.59	0.706	CP058272.1_2019	Acinetobacter_guillouiae	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058272.1_2140	Acinetobacter_guillouiae	dna_rna_related	Hypothetical protein | hypothetical protein | hypothetical protein | Ribosome-recycling factor	0.988	0.979	CP058272.1_2140	Acinetobacter_guillouiae	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_3997	Comamonas_piscis	dna_rna_related	Hypothetical protein | putative methyl transferase protein [Burkholderia sp. MSHR3999] | putative methyl transferase pro	0.897	0.898	CP058554.1_3997	Comamonas_piscis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058554.1_4076	Comamonas_piscis	dna_rna_related	Zinc ribbon domain-containing protein | zinc ribbon domain-containing protein [Comamonas sp.] | zinc ribbon domain-conta	0.47	0.725	CP058554.1_4076	Comamonas_piscis	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058553.1_986	Enterobacter_hormaechei	dna_rna_related	"Cell division protein DamX | Cell division protein DamX | ?? --> Extracellular ""1 internal helix found"""	0.964	0.96	CP058553.1_986	Enterobacter_hormaechei	2	Q8X826	Cell division protein DamX	Escherichia coli O157:H7	strong_sequence_hit	58.1	434.0	4.024e-152	487.0	found	58.78	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (strong_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
NZ_RJVC02000001.1_1820	Lelliottia_amnigena	dna_rna_related	Cell division protein DamX | cell division protein DamX [Lelliottia amnigena] | Cell division protein DamX | ?? --> Extr	0.626	0.954	CP058553.1_986	Enterobacter_hormaechei	2	Q8X826	Cell division protein DamX	Escherichia coli O157:H7	strong_sequence_hit	58.1	434.0	4.024e-152	487.0	found	58.78	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (strong_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
PCOC01000002.1_806	Ochrobactrum_vermis	dna_rna_related	"SEL1-like repeat protein | Sel1 repeat family protein | ?? --> Extracellular ""1 internal helix found"""	0.972	0.746	PCOC01000002.1_806	Ochrobactrum_vermis	1	Q9ZG88	Localization factor PodJL	Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15)	weak_but_possible_hit	28.3	279.0	1.282e-24	117.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
JACAWY010000001.1_971	Pantoea_nemavictus	dna_rna_related	IS5 family transposase | IS5 family transposase [Yersinia enterocolitica] | IS5 family transposase [Roseobacter sp.] | T	0.631	0.661	JACAWY010000001.1_971	Pantoea_nemavictus	1	P03009	Probable transposase for transposon Tn903	Escherichia coli	strong_sequence_hit	83.7	231.0	2.353e-126	401.0	found	91.0	homolog_SwissProt_AlphaFold_structure	high_priority_review	AlphaFold homolog structure available (strong_sequence_hit); structure is of SwissProt homolog, not exact CeMbio protein
CP059139.1_4175	Pseudomonas_berkeleyensis	dna_rna_related	ribosome alternative rescue factor ArfA | ribosome alternative rescue factor ArfA [Pseudomonas berkeleyensis]	0.522	0.854	CP059139.1_4175	Pseudomonas_berkeleyensis	2	P36675	Alternative ribosome-rescue factor A	Escherichia coli (strain K12)	low_confidence_hit	48.6	41.0	0.0004008	40.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (low_confidence_hit); AlphaFold lookup pending or not attempted
CP023272.1_5331	Pseudomonas_lurida	dna_rna_related	Superfamily II DNA/RNA helicase | Superfamily II DNA/RNA helicase [Pseudomonas sp. R5-89-07] | Superfamily II DNA/RNA he	0.397	0.846	CP059139.1_4878	Pseudomonas_berkeleyensis	2											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
CP058555.1_4481	Sphingobacterium_multivorum	dna_rna_related	DUF6266 family protein | DUF6266 family protein | DUF6266 family protein | Thiopurine S-methyltransferase (TPMT)	0.591	0.705	CP058555.1_4481	Sphingobacterium_multivorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
JAFBBF010000001.1_2824	Chryseobacterium_scophthalmum	hypothetical_unknown	Hypothetical protein | Hypothetical protein | Hypothetical protein | SH3 domain-containing protein	0.357	0.759	JAFBBF010000001.1_2824	Chryseobacterium_scophthalmum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
JACAWY010000001.1_2732	Pantoea_nemavictus	hypothetical_unknown	Hypothetical protein | Hypothetical protein | Hypothetical protein | NfeD-like C-terminal domain-containing protein	0.529	0.697	JACAWY010000001.1_2732	Pantoea_nemavictus	1	P04891	Probable regulatory protein N	Salmonella phage P22	weak_but_possible_hit	32.4	90.0	8.714e-07	49.0	pending		SwissProt_homolog_no_structure_yet	medium_priority_review	SwissProt hit present (weak_but_possible_hit); AlphaFold lookup pending or not attempted
CP058555.1_1461	Sphingobacterium_multivorum	hypothetical_unknown	Hypothetical protein | alpha/beta hydrolase | alpha/beta hydrolase	0.872	0.794	CP058555.1_1461	Sphingobacterium_multivorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_SLYP02000001.1_1471	Sphingomonas_molluscorum	hypothetical_unknown	Hypothetical protein | DUF3883 domain-containing protein [Sphingobium sp.] | DUF3883 domain-containing protein [Sphingob	0.509	0.895	NZ_SLYP02000001.1_1471	Sphingomonas_molluscorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
NZ_SLYP02000001.1_281	Sphingomonas_molluscorum	hypothetical_unknown	Hypothetical protein | hypothetical protein | hypothetical protein	0.575	0.977	NZ_SLYP02000001.1_281	Sphingomonas_molluscorum	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
JACAWX010000001.1_287	Stenotrophomonas_indicatrix	hypothetical_unknown	Hypothetical protein | deaminase domain-containing protein | deaminase domain-containing protein [Burkholderia sp. Ac-20	0.537	0.915	JACAWX010000001.1_287	Stenotrophomonas_indicatrix	1											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
JAFBBF010000001.1_1941	Chryseobacterium_scophthalmum	nuclease_endonuclease	"Endonuclease
Phage tail protein | DNA/RNA non-specific endonuclease [Chryseobacterium] | Ntox15 domain-containing protei"	0.96	0.833	JAFBBF010000001.1_1941	Chryseobacterium_scophthalmum	2											no_SwissProt_hit	needs_broader_search	No SwissProt hit at 50% identity threshold; consider TrEMBL search or Foldseek on CeMbio representative
